Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q26,Q22,Q23,Q24,Q25
Rarely,Not sure what a password manager is,Neutral,"Yes, recently",Somewhat confident,Consult a colleague,Often,Most of the time,"No, never",Never,"Yes, automatically",Neutral,"Yes, frequently",Neutral,Most of the time,Videos,Neutral,Rarely,Neutral,"Yes, significantly","Yes, frequently",Sometimes,Neutral,Useful,"Yes, somewhat"
Always,Yes,Not confident,"Yes, but a long time ago",Very confident,Open and read carefully,Always,Most of the time,Rarely,Every week,"Yes, manually",Confident,"Yes, frequently",Very helpful,Always,Simulations,Not effective,"Yes, always",Neutral,Somewhat,"Yes, frequently",No,Not effective,Very useful,"Yes, significantly"
Never,Yes,Not confident,"No, never",Not confident,Report it to IT,Always,Sometimes,Occasionally,Monthly,Never,Not confident,"Yes, frequently",Helpful,Most of the time,Videos,Very effective,"Yes, always",Somewhat relevant,Somewhat,Rarely,"Yes, always",Neutral,Very useful,"Yes, somewhat"
Never,No,Very confident,"Yes, recently",Neutral,Open and read carefully,Often,Sometimes,Rarely,Every week,"Yes, automatically",Confident,"Yes, frequently",Not helpful at all,Always,Quizzes,Neutral,"Yes, always",Neutral,Somewhat,Rarely,Rarely,Effective,Not useful,"Yes, somewhat"
Often,No,Very confident,Not sure,Neutral,Report it to IT,Rarely,"Yes, always",Rarely,Rarely,Sometimes,Neutral,Never,Helpful,Most of the time,Videos,Not effective,Rarely,Not relevant,"Yes, significantly","Yes, frequently",No,Neutral,Neutral,"Yes, somewhat"
Rarely,No,Not confident,"Yes, recently",Not confident,Delete it immediately,Often,Most of the time,"No, never",Rarely,Sometimes,Neutral,Never,Helpful,Always,Videos,Neutral,Sometimes,Neutral,Neutral,Sometimes,No,Neutral,Useful,"Yes, somewhat"
Often,Yes,Confident,"Yes, recently",Neutral,Consult a colleague,Always,Most of the time,"Yes, frequently",Occasionally,Rarely,Not confident,Rarely,Neutral,Never,Live training sessions,Effective,"Yes, always",Very relevant,No,"Yes, frequently",No,Neutral,Neutral,"Yes, somewhat"
Often,Yes,Neutral,"Yes, but a long time ago",Somewhat confident,Consult a colleague,Often,Sometimes,"No, never",Every week,"Yes, manually",Neutral,Not sure,Very helpful,Sometimes,Simulations,Very effective,Sometimes,Not relevant,Neutral,Never,Sometimes,Effective,Useful,Neutral
Never,Not sure what a password manager is,Confident,"No, never",Neutral,Open and read carefully,Rarely,"Yes, always",Occasionally,Rarely,Sometimes,Confident,Rarely,Not very helpful,Always,Live training sessions,Not effective,Rarely,Very relevant,No,Never,"Yes, always",Neutral,Not useful,"Yes, somewhat"
Never,No,Very confident,"No, never",Not confident,Consult a colleague,Always,Never,"Yes, frequently",Occasionally,Never,Confident,Rarely,Helpful,Always,Live training sessions,Effective,Sometimes,Somewhat relevant,Neutral,Rarely,"Yes, always",Effective,Useful,No
Never,No,Not confident,"Yes, recently",Very confident,Report it to IT,Often,Rarely,"No, never",Occasionally,Rarely,Not confident,"Yes, frequently",Not very helpful,Never,Quizzes,Effective,Rarely,Not relevant,No,"Yes, frequently",Rarely,Effective,Neutral,"Yes, significantly"
Always,Not sure what a password manager is,Confident,"Yes, recently",Somewhat confident,Open and read carefully,Often,Most of the time,Rarely,Occasionally,"Yes, manually",Very confident,Occasionally,Not very helpful,Sometimes,Videos,Very effective,No,Not relevant,"Yes, significantly",Sometimes,Sometimes,"Yes, highly effective",Very useful,"Yes, significantly"
Rarely,Not sure what a password manager is,Not confident at all,"Yes, but a long time ago",Very confident,Delete it immediately,Often,"Yes, always",Rarely,Every week,"Yes, automatically",Very confident,"Yes, frequently",Very helpful,Most of the time,Simulations,Effective,No,Neutral,Neutral,Never,Rarely,Neutral,Not useful,No
Always,No,Neutral,"No, never",Neutral,Delete it immediately,Rarely,"Yes, always",Rarely,Monthly,Rarely,Confident,Never,Not very helpful,Sometimes,Simulations,Effective,Sometimes,Not relevant,No,Sometimes,Sometimes,Neutral,Very useful,Neutral
Rarely,Yes,Not confident,"Yes, but a long time ago",Neutral,Consult a colleague,Never,Sometimes,Occasionally,Monthly,Sometimes,Confident,Rarely,Neutral,Always,Quizzes,Very effective,No,Not relevant,Neutral,Sometimes,No,Not effective,Not useful,No
Sometimes,Not sure what a password manager is,Not confident,"Yes, recently",Neutral,Open and read carefully,Sometimes,Most of the time,Occasionally,Never,"Yes, automatically",Very confident,Occasionally,Not very helpful,Always,Videos,Not effective,Rarely,Very relevant,Neutral,"Yes, frequently","Yes, always",Effective,Very useful,No
Never,Yes,Not confident,"Yes, but a long time ago",Neutral,Open and read carefully,Sometimes,Most of the time,"No, never",Rarely,Sometimes,Very confident,Not sure,Not very helpful,Always,Simulations,Very effective,No,Very relevant,Neutral,"Yes, frequently",No,Neutral,Very useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Very confident,"Yes, recently",Not confident,Consult a colleague,Sometimes,Most of the time,"No, never",Monthly,Rarely,Very confident,Not sure,Not very helpful,Always,Videos,Very effective,No,Somewhat relevant,"Yes, significantly",Sometimes,No,Neutral,Neutral,"Yes, significantly"
Rarely,Yes,Very confident,"Yes, recently",Not confident,Consult a colleague,Always,Sometimes,Rarely,Every week,Rarely,Very confident,Rarely,Very helpful,Sometimes,Quizzes,Very effective,Rarely,Neutral,"Yes, significantly","Yes, frequently","Yes, always",Neutral,Neutral,"Yes, significantly"
Always,No,Confident,"No, never",Somewhat confident,Delete it immediately,Rarely,"Yes, always","Yes, frequently",Every week,Sometimes,Confident,Not sure,Not very helpful,Sometimes,Quizzes,Effective,No,Somewhat relevant,"Yes, significantly",Rarely,Sometimes,Effective,Very useful,"Yes, significantly"
Often,Yes,Confident,"No, never",Neutral,Report it to IT,Always,"Yes, always","Yes, frequently",Occasionally,Rarely,Neutral,Occasionally,Very helpful,Sometimes,Simulations,Neutral,Rarely,Not relevant,Neutral,Rarely,Sometimes,"Yes, highly effective",Neutral,"Yes, significantly"
Often,Yes,Confident,Not sure,Neutral,Consult a colleague,Rarely,"Yes, always","Yes, frequently",Occasionally,"Yes, automatically",Neutral,Not sure,Helpful,Sometimes,Videos,Effective,No,Somewhat relevant,Neutral,"Yes, frequently",Sometimes,"Yes, highly effective",Very useful,No
Always,Not sure what a password manager is,Not confident at all,"Yes, recently",Not confident,Consult a colleague,Often,Sometimes,"No, never",Every week,"Yes, automatically",Confident,"Yes, frequently",Very helpful,Sometimes,Live training sessions,Not effective,Sometimes,Somewhat relevant,No,"Yes, frequently",Rarely,"Yes, highly effective",Neutral,No
Rarely,Not sure what a password manager is,Not confident at all,"Yes, recently",Neutral,Open and read carefully,Sometimes,Rarely,Rarely,Every week,Never,Very confident,Never,Not very helpful,Never,Simulations,Neutral,No,Neutral,Neutral,Never,No,Effective,Very useful,No
Rarely,Yes,Confident,"Yes, recently",Somewhat confident,Open and read carefully,Never,"Yes, always",Occasionally,Monthly,"Yes, automatically",Very confident,Not sure,Very helpful,Never,Videos,Very effective,Rarely,Neutral,Neutral,Never,No,"Yes, highly effective",Useful,"Yes, significantly"
Rarely,No,Very confident,"No, never",Not confident,Open and read carefully,Never,Never,"No, never",Monthly,"Yes, automatically",Confident,Never,Helpful,Sometimes,Live training sessions,Very effective,No,Somewhat relevant,"Yes, significantly",Sometimes,Sometimes,Effective,Very useful,"Yes, significantly"
Often,No,Very confident,Not sure,Neutral,Open and read carefully,Never,Never,"Yes, frequently",Monthly,"Yes, automatically",Neutral,"Yes, frequently",Very helpful,Most of the time,Videos,Neutral,No,Very relevant,Somewhat,"Yes, frequently",Rarely,Not effective,Useful,Neutral
Rarely,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Delete it immediately,Rarely,Never,Rarely,Every week,Rarely,Very confident,Occasionally,Very helpful,Most of the time,Videos,Neutral,"Yes, always",Not relevant,Somewhat,Rarely,No,Not effective,Very useful,No
Rarely,No,Not confident,"Yes, recently",Neutral,Open and read carefully,Never,Most of the time,Occasionally,Never,"Yes, manually",Neutral,"Yes, frequently",Not very helpful,Sometimes,Videos,Not effective,Sometimes,Neutral,Neutral,"Yes, frequently",Sometimes,Not effective,Neutral,"Yes, somewhat"
Often,Not sure what a password manager is,Not confident at all,Not sure,Very confident,Consult a colleague,Rarely,Most of the time,Rarely,Every week,"Yes, manually",Very confident,Occasionally,Not very helpful,Sometimes,Videos,Not effective,No,Very relevant,No,Rarely,"Yes, always",Effective,Not useful,Neutral
Sometimes,Not sure what a password manager is,Not confident at all,"Yes, recently",Somewhat confident,Open and read carefully,Sometimes,"Yes, always","Yes, frequently",Occasionally,Rarely,Neutral,"Yes, frequently",Very helpful,Most of the time,Videos,Very effective,Sometimes,Neutral,Somewhat,Sometimes,No,Neutral,Useful,"Yes, significantly"
Often,Not sure what a password manager is,Very confident,"Yes, recently",Very confident,Consult a colleague,Often,Sometimes,"No, never",Occasionally,"Yes, automatically",Not confident,Rarely,Helpful,Rarely,Simulations,Neutral,Rarely,Very relevant,Neutral,"Yes, frequently",No,Not effective,Neutral,"Yes, significantly"
Never,Yes,Not confident,"Yes, but a long time ago",Not confident,Consult a colleague,Often,Rarely,"Yes, frequently",Occasionally,Never,Neutral,Never,Very helpful,Most of the time,Quizzes,Very effective,No,Not relevant,Neutral,Rarely,Rarely,Neutral,Useful,"Yes, somewhat"
Never,Not sure what a password manager is,Very confident,Not sure,Somewhat confident,Consult a colleague,Always,Most of the time,Rarely,Monthly,Rarely,Confident,Never,Not helpful at all,Always,Simulations,Effective,Sometimes,Somewhat relevant,No,"Yes, frequently",Rarely,Neutral,Neutral,"Yes, significantly"
Often,Yes,Very confident,"Yes, recently",Neutral,Consult a colleague,Never,"Yes, always","Yes, frequently",Monthly,Sometimes,Confident,Occasionally,Not very helpful,Rarely,Live training sessions,Not effective,No,Very relevant,Somewhat,Never,No,Not effective,Useful,"Yes, somewhat"
Never,Yes,Neutral,"Yes, recently",Not confident,Report it to IT,Rarely,Never,Rarely,Rarely,Never,Not confident,Occasionally,Helpful,Always,Live training sessions,Very effective,No,Somewhat relevant,Somewhat,Rarely,Rarely,Neutral,Useful,Neutral
Never,No,Very confident,"Yes, recently",Not confident,Open and read carefully,Never,Most of the time,Rarely,Never,Sometimes,Confident,"Yes, frequently",Very helpful,Never,Videos,Effective,"Yes, always",Somewhat relevant,Somewhat,"Yes, frequently",Rarely,Neutral,Useful,"Yes, significantly"
Rarely,No,Confident,"Yes, recently",Very confident,Consult a colleague,Sometimes,"Yes, always","Yes, frequently",Monthly,"Yes, manually",Neutral,Never,Helpful,Rarely,Videos,Very effective,No,Somewhat relevant,"Yes, significantly",Rarely,Rarely,Not effective,Useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Neutral,"Yes, but a long time ago",Not confident,Open and read carefully,Often,Most of the time,Rarely,Every week,Never,Neutral,Never,Helpful,Always,Live training sessions,Neutral,No,Not relevant,Somewhat,Rarely,Rarely,Not effective,Very useful,No
Always,Not sure what a password manager is,Not confident,"No, never",Neutral,Report it to IT,Rarely,Rarely,Occasionally,Monthly,"Yes, automatically",Confident,Occasionally,Helpful,Most of the time,Simulations,Not effective,"Yes, always",Not relevant,No,"Yes, frequently",Rarely,Effective,Neutral,Neutral
Often,Not sure what a password manager is,Not confident,"Yes, recently",Not confident,Delete it immediately,Never,"Yes, always",Occasionally,Rarely,Sometimes,Not confident,"Yes, frequently",Very helpful,Sometimes,Quizzes,Neutral,No,Neutral,"Yes, significantly",Sometimes,No,Neutral,Very useful,Neutral
Sometimes,Not sure what a password manager is,Very confident,Not sure,Neutral,Consult a colleague,Never,Most of the time,Occasionally,Occasionally,Never,Very confident,Never,Not very helpful,Always,Videos,Effective,No,Not relevant,Neutral,"Yes, frequently",No,Neutral,Useful,No
Always,Not sure what a password manager is,Neutral,Not sure,Not confident,Open and read carefully,Rarely,Sometimes,"No, never",Monthly,Sometimes,Very confident,Never,Not helpful at all,Never,Videos,Not effective,"Yes, always",Neutral,Somewhat,"Yes, frequently",Sometimes,Effective,Very useful,No
Often,Not sure what a password manager is,Confident,Not sure,Neutral,Open and read carefully,Sometimes,Sometimes,"No, never",Occasionally,Sometimes,Confident,Not sure,Very helpful,Sometimes,Live training sessions,Very effective,Rarely,Not relevant,Somewhat,"Yes, frequently",No,"Yes, highly effective",Not useful,"Yes, somewhat"
Never,Not sure what a password manager is,Neutral,"No, never",Not confident,Consult a colleague,Rarely,Rarely,"No, never",Occasionally,"Yes, automatically",Confident,Never,Neutral,Rarely,Quizzes,Effective,Rarely,Not relevant,"Yes, significantly",Sometimes,No,Effective,Not useful,"Yes, somewhat"
Sometimes,Not sure what a password manager is,Not confident,"No, never",Not confident,Delete it immediately,Often,Sometimes,"No, never",Every week,Rarely,Neutral,Occasionally,Not very helpful,Sometimes,Quizzes,Effective,No,Not relevant,"Yes, significantly","Yes, frequently",Rarely,Neutral,Not useful,"Yes, somewhat"
Always,No,Confident,"Yes, recently",Not confident,Open and read carefully,Often,Sometimes,"No, never",Monthly,"Yes, manually",Very confident,Never,Not very helpful,Most of the time,Quizzes,Neutral,No,Neutral,Neutral,Sometimes,Rarely,Not effective,Useful,"Yes, significantly"
Always,Yes,Not confident,"Yes, recently",Not confident,Report it to IT,Often,"Yes, always","No, never",Every week,"Yes, automatically",Confident,Never,Not helpful at all,Never,Videos,Neutral,Sometimes,Very relevant,Somewhat,Sometimes,Rarely,Neutral,Useful,"Yes, significantly"
Rarely,Yes,Not confident at all,"Yes, but a long time ago",Neutral,Report it to IT,Sometimes,Most of the time,"Yes, frequently",Never,"Yes, manually",Very confident,Never,Neutral,Always,Quizzes,Neutral,Sometimes,Somewhat relevant,Neutral,Sometimes,Rarely,Neutral,Very useful,Neutral
Sometimes,Yes,Confident,"No, never",Very confident,Delete it immediately,Rarely,Sometimes,"No, never",Rarely,Sometimes,Neutral,Occasionally,Not very helpful,Sometimes,Live training sessions,Not effective,Sometimes,Somewhat relevant,Somewhat,Never,Sometimes,Not effective,Not useful,"Yes, somewhat"
Never,Not sure what a password manager is,Confident,Not sure,Not confident,Consult a colleague,Rarely,Most of the time,Rarely,Never,Sometimes,Very confident,Rarely,Not very helpful,Always,Quizzes,Not effective,Sometimes,Somewhat relevant,Neutral,Rarely,No,Effective,Very useful,"Yes, significantly"
Never,No,Very confident,Not sure,Somewhat confident,Open and read carefully,Always,Sometimes,Occasionally,Monthly,Sometimes,Not confident,Not sure,Not helpful at all,Rarely,Quizzes,Effective,Rarely,Very relevant,Neutral,Sometimes,Sometimes,Effective,Useful,"Yes, significantly"
Rarely,No,Neutral,"Yes, recently",Very confident,Report it to IT,Often,Sometimes,"Yes, frequently",Occasionally,"Yes, automatically",Very confident,"Yes, frequently",Neutral,Most of the time,Videos,Not effective,No,Not relevant,No,Sometimes,"Yes, always",Effective,Not useful,"Yes, somewhat"
Never,No,Very confident,"No, never",Very confident,Consult a colleague,Never,Rarely,"Yes, frequently",Occasionally,Sometimes,Confident,Rarely,Not helpful at all,Sometimes,Live training sessions,Effective,Rarely,Very relevant,No,Rarely,Rarely,Effective,Useful,"Yes, somewhat"
Often,No,Very confident,"Yes, recently",Neutral,Open and read carefully,Never,Never,Rarely,Occasionally,Sometimes,Neutral,Never,Neutral,Most of the time,Live training sessions,Neutral,"Yes, always",Not relevant,"Yes, significantly",Rarely,Rarely,Not effective,Neutral,Neutral
Always,Yes,Not confident,"Yes, recently",Neutral,Delete it immediately,Rarely,Rarely,Rarely,Never,"Yes, automatically",Very confident,Never,Neutral,Most of the time,Simulations,Effective,"Yes, always",Neutral,Neutral,"Yes, frequently",Rarely,Not effective,Not useful,"Yes, significantly"
Never,Yes,Not confident at all,"No, never",Not confident,Consult a colleague,Never,"Yes, always",Rarely,Every week,Rarely,Not confident,Occasionally,Very helpful,Sometimes,Quizzes,Not effective,Sometimes,Very relevant,Neutral,Sometimes,Rarely,Neutral,Not useful,Neutral
Sometimes,Not sure what a password manager is,Confident,"Yes, but a long time ago",Not confident,Report it to IT,Never,"Yes, always",Rarely,Never,"Yes, automatically",Neutral,"Yes, frequently",Not very helpful,Always,Simulations,Effective,Sometimes,Very relevant,No,Rarely,Sometimes,Effective,Useful,Neutral
Often,No,Very confident,Not sure,Neutral,Consult a colleague,Always,Most of the time,Occasionally,Never,Rarely,Neutral,Not sure,Helpful,Sometimes,Quizzes,Not effective,No,Neutral,Neutral,Rarely,Rarely,Effective,Not useful,"Yes, significantly"
Rarely,Not sure what a password manager is,Not confident,"No, never",Neutral,Open and read carefully,Rarely,Most of the time,Rarely,Never,"Yes, automatically",Very confident,Not sure,Not very helpful,Sometimes,Simulations,Effective,Rarely,Neutral,Neutral,Never,"Yes, always",Effective,Neutral,"Yes, somewhat"
Never,Yes,Very confident,Not sure,Very confident,Open and read carefully,Rarely,"Yes, always",Rarely,Occasionally,Sometimes,Confident,Occasionally,Not helpful at all,Most of the time,Live training sessions,Neutral,"Yes, always",Neutral,Neutral,Never,No,Effective,Useful,"Yes, significantly"
Never,Yes,Very confident,Not sure,Neutral,Consult a colleague,Rarely,"Yes, always","No, never",Occasionally,"Yes, automatically",Neutral,Never,Neutral,Always,Quizzes,Effective,"Yes, always",Very relevant,"Yes, significantly","Yes, frequently",Sometimes,"Yes, highly effective",Very useful,"Yes, somewhat"
Often,Yes,Confident,"Yes, recently",Very confident,Delete it immediately,Rarely,Rarely,"No, never",Every week,"Yes, automatically",Confident,Occasionally,Not very helpful,Never,Simulations,Neutral,"Yes, always",Neutral,Neutral,"Yes, frequently",Rarely,Neutral,Neutral,Neutral
Always,Yes,Confident,"Yes, recently",Neutral,Delete it immediately,Sometimes,Never,"Yes, frequently",Occasionally,Sometimes,Not confident,Rarely,Not helpful at all,Sometimes,Videos,Very effective,Sometimes,Very relevant,Neutral,"Yes, frequently","Yes, always",Neutral,Very useful,No
Rarely,Yes,Not confident,"Yes, recently",Not confident,Report it to IT,Never,Most of the time,Rarely,Never,Never,Confident,Occasionally,Very helpful,Always,Live training sessions,Not effective,No,Neutral,Neutral,Rarely,No,Effective,Neutral,"Yes, somewhat"
Rarely,Not sure what a password manager is,Not confident,Not sure,Very confident,Open and read carefully,Rarely,Rarely,Rarely,Rarely,Never,Confident,Rarely,Very helpful,Always,Live training sessions,Effective,No,Very relevant,"Yes, significantly","Yes, frequently",No,Neutral,Useful,No
Often,No,Not confident at all,"Yes, recently",Neutral,Consult a colleague,Rarely,Sometimes,Occasionally,Rarely,"Yes, manually",Very confident,Occasionally,Neutral,Most of the time,Videos,Not effective,No,Neutral,"Yes, significantly",Sometimes,Sometimes,Neutral,Very useful,"Yes, somewhat"
Sometimes,Yes,Neutral,"Yes, recently",Very confident,Consult a colleague,Rarely,Never,Rarely,Every week,"Yes, manually",Not confident,Not sure,Not helpful at all,Most of the time,Quizzes,Neutral,"Yes, always",Neutral,Neutral,Rarely,No,Neutral,Very useful,"Yes, significantly"
Rarely,Not sure what a password manager is,Very confident,Not sure,Neutral,Open and read carefully,Rarely,Sometimes,Occasionally,Never,Rarely,Very confident,Never,Neutral,Sometimes,Videos,Not effective,Sometimes,Very relevant,Neutral,Rarely,Rarely,Neutral,Useful,"Yes, somewhat"
Rarely,No,Confident,"Yes, recently",Not confident,Consult a colleague,Always,Sometimes,"Yes, frequently",Rarely,Sometimes,Confident,Not sure,Not very helpful,Always,Videos,Neutral,Rarely,Somewhat relevant,"Yes, significantly",Never,No,Effective,Useful,Neutral
Sometimes,Not sure what a password manager is,Neutral,"Yes, recently",Not confident,Consult a colleague,Often,"Yes, always",Occasionally,Rarely,Never,Neutral,Occasionally,Not helpful at all,Most of the time,Quizzes,Very effective,No,Very relevant,Somewhat,"Yes, frequently",No,Effective,Neutral,"Yes, significantly"
Sometimes,No,Confident,Not sure,Very confident,Open and read carefully,Rarely,Never,Occasionally,Rarely,Never,Very confident,Never,Neutral,Rarely,Live training sessions,Effective,No,Not relevant,Somewhat,Rarely,Rarely,Effective,Not useful,"Yes, somewhat"
Sometimes,Not sure what a password manager is,Not confident at all,"Yes, but a long time ago",Neutral,Report it to IT,Rarely,"Yes, always",Rarely,Monthly,"Yes, manually",Confident,Not sure,Very helpful,Rarely,Simulations,Effective,"Yes, always",Neutral,Neutral,Sometimes,"Yes, always",Neutral,Neutral,"Yes, somewhat"
Rarely,Yes,Neutral,"Yes, recently",Neutral,Consult a colleague,Never,Never,Occasionally,Every week,Never,Very confident,Not sure,Neutral,Sometimes,Live training sessions,Not effective,Rarely,Not relevant,"Yes, significantly","Yes, frequently",No,Effective,Not useful,Neutral
Sometimes,No,Not confident,Not sure,Neutral,Consult a colleague,Rarely,Never,Occasionally,Monthly,Sometimes,Confident,Never,Helpful,Rarely,Live training sessions,Effective,No,Very relevant,Neutral,"Yes, frequently",Sometimes,Not effective,Very useful,"Yes, significantly"
Rarely,Yes,Confident,"Yes, recently",Somewhat confident,Open and read carefully,Often,Most of the time,Occasionally,Rarely,"Yes, automatically",Not confident,"Yes, frequently",Neutral,Always,Simulations,Very effective,Rarely,Neutral,Neutral,Rarely,Rarely,Neutral,Useful,No
Never,Not sure what a password manager is,Neutral,Not sure,Very confident,Consult a colleague,Sometimes,"Yes, always","Yes, frequently",Every week,"Yes, automatically",Very confident,"Yes, frequently",Not very helpful,Always,Quizzes,Effective,No,Very relevant,No,"Yes, frequently",No,"Yes, highly effective",Useful,No
Rarely,Yes,Not confident,"Yes, recently",Neutral,Open and read carefully,Sometimes,Rarely,"Yes, frequently",Monthly,Never,Confident,Never,Not helpful at all,Most of the time,Simulations,Neutral,Sometimes,Not relevant,Neutral,Never,No,Effective,Very useful,No
Sometimes,Yes,Very confident,"Yes, recently",Very confident,Delete it immediately,Rarely,Most of the time,Rarely,Never,"Yes, automatically",Neutral,Never,Neutral,Most of the time,Live training sessions,Not effective,No,Neutral,No,Rarely,Sometimes,Not effective,Useful,Neutral
Always,Not sure what a password manager is,Not confident,"Yes, recently",Neutral,Open and read carefully,Often,Most of the time,"No, never",Every week,Rarely,Very confident,"Yes, frequently",Not very helpful,Never,Simulations,Effective,Rarely,Somewhat relevant,Somewhat,"Yes, frequently",Rarely,Not effective,Not useful,Neutral
Often,Not sure what a password manager is,Neutral,"No, never",Not confident,Open and read carefully,Rarely,"Yes, always",Rarely,Occasionally,Never,Very confident,Rarely,Not very helpful,Sometimes,Videos,Neutral,No,Not relevant,Neutral,"Yes, frequently",Sometimes,Neutral,Very useful,"Yes, significantly"
Never,No,Confident,"Yes, recently",Not confident,Consult a colleague,Sometimes,Rarely,"Yes, frequently",Every week,"Yes, automatically",Very confident,"Yes, frequently",Not very helpful,Most of the time,Live training sessions,Very effective,No,Very relevant,Neutral,"Yes, frequently",No,"Yes, highly effective",Not useful,"Yes, somewhat"
Rarely,Not sure what a password manager is,Neutral,"No, never",Not confident,Consult a colleague,Never,"Yes, always",Occasionally,Rarely,Never,Very confident,"Yes, frequently",Neutral,Most of the time,Live training sessions,Not effective,"Yes, always",Very relevant,"Yes, significantly","Yes, frequently",No,Effective,Neutral,"Yes, somewhat"
Always,Not sure what a password manager is,Not confident,Not sure,Very confident,Consult a colleague,Never,"Yes, always",Rarely,Monthly,"Yes, manually",Confident,"Yes, frequently",Not very helpful,Sometimes,Simulations,Not effective,No,Not relevant,"Yes, significantly",Rarely,Sometimes,Neutral,Very useful,No
Rarely,Yes,Neutral,"Yes, but a long time ago",Not confident,Consult a colleague,Sometimes,Rarely,"No, never",Every week,"Yes, automatically",Very confident,"Yes, frequently",Not very helpful,Most of the time,Quizzes,Effective,No,Not relevant,Somewhat,Never,No,Effective,Useful,No
Always,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Open and read carefully,Sometimes,Most of the time,"No, never",Occasionally,Rarely,Very confident,"Yes, frequently",Neutral,Sometimes,Quizzes,Not effective,No,Not relevant,No,Sometimes,Sometimes,Neutral,Neutral,No
Rarely,Not sure what a password manager is,Neutral,Not sure,Somewhat confident,Open and read carefully,Never,Rarely,Rarely,Monthly,Rarely,Very confident,Occasionally,Not very helpful,Sometimes,Simulations,Not effective,No,Not relevant,Somewhat,"Yes, frequently",Sometimes,Effective,Useful,Neutral
Always,No,Very confident,"No, never",Very confident,Consult a colleague,Never,Sometimes,"No, never",Never,Never,Very confident,Rarely,Neutral,Most of the time,Quizzes,Neutral,No,Somewhat relevant,Neutral,"Yes, frequently",No,Effective,Not useful,"Yes, significantly"
Never,Yes,Not confident,"Yes, recently",Neutral,Open and read carefully,Often,"Yes, always","No, never",Rarely,Rarely,Confident,Not sure,Not helpful at all,Sometimes,Live training sessions,Neutral,"Yes, always",Very relevant,Somewhat,Sometimes,No,Neutral,Useful,Neutral
