Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q26,Q22,Q23,Q24,Q25
Always,Yes,Confident,"Yes, recently",Neutral,Consult a colleague,Never,Never,Rarely,Rarely,Sometimes,Not confident,Rarely,Not helpful at all,Always,Quizzes,Very effective,No,Somewhat relevant,Neutral,"Yes, frequently",Sometimes,Neutral,Very useful,"Yes, somewhat"
Always,Not sure what a password manager is,Neutral,"Yes, recently",Very confident,Consult a colleague,Rarely,Never,Rarely,Rarely,Rarely,Confident,Never,Not very helpful,Sometimes,Quizzes,Effective,Rarely,Very relevant,"Yes, significantly",Sometimes,Rarely,"Yes, highly effective",Very useful,"Yes, significantly"
Sometimes,No,Confident,Not sure,Neutral,Consult a colleague,Sometimes,Never,Rarely,Rarely,Never,Confident,Never,Helpful,Never,Quizzes,Not effective,No,Neutral,"Yes, significantly",Rarely,"Yes, always",Effective,Not useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Very confident,"No, never",Neutral,Delete it immediately,Never,Rarely,Occasionally,Rarely,Never,Neutral,Occasionally,Not helpful at all,Sometimes,Videos,Effective,No,Neutral,Neutral,"Yes, frequently",No,Effective,Useful,"Yes, significantly"
Sometimes,No,Not confident,"Yes, recently",Not confident,Open and read carefully,Never,Most of the time,Occasionally,Never,Sometimes,Neutral,Occasionally,Not very helpful,Never,Videos,Effective,Rarely,Not relevant,No,Rarely,Sometimes,"Yes, highly effective",Not useful,"Yes, significantly"
Rarely,Yes,Confident,"Yes, recently",Neutral,Consult a colleague,Sometimes,"Yes, always",Occasionally,Every week,Never,Neutral,"Yes, frequently",Not helpful at all,Rarely,Simulations,Very effective,"Yes, always",Neutral,No,Sometimes,Rarely,Effective,Very useful,Neutral
Often,Not sure what a password manager is,Very confident,"Yes, but a long time ago",Very confident,Report it to IT,Often,Rarely,"Yes, frequently",Every week,Sometimes,Not confident,Never,Very helpful,Most of the time,Simulations,Neutral,No,Not relevant,Neutral,Rarely,No,Effective,Useful,"Yes, somewhat"
Sometimes,No,Not confident,"Yes, recently",Neutral,Delete it immediately,Rarely,Sometimes,Occasionally,Occasionally,"Yes, automatically",Very confident,"Yes, frequently",Not helpful at all,Never,Quizzes,Effective,Sometimes,Somewhat relevant,"Yes, significantly",Sometimes,Rarely,Effective,Very useful,Neutral
Always,Not sure what a password manager is,Neutral,"Yes, recently",Neutral,Open and read carefully,Often,Sometimes,Occasionally,Monthly,Rarely,Not confident,"Yes, frequently",Neutral,Most of the time,Quizzes,Not effective,Rarely,Not relevant,"Yes, significantly",Rarely,Rarely,Neutral,Not useful,No
Often,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Open and read carefully,Sometimes,Rarely,"No, never",Occasionally,Sometimes,Neutral,Not sure,Helpful,Most of the time,Videos,Not effective,Rarely,Somewhat relevant,"Yes, significantly",Sometimes,Rarely,"Yes, highly effective",Very useful,No
Often,Not sure what a password manager is,Confident,"No, never",Somewhat confident,Report it to IT,Sometimes,Never,Occasionally,Every week,"Yes, automatically",Confident,Occasionally,Helpful,Sometimes,Simulations,Very effective,Sometimes,Neutral,Somewhat,Sometimes,Rarely,Not effective,Not useful,"Yes, somewhat"
Rarely,Yes,Not confident,"Yes, recently",Not confident,Report it to IT,Often,Sometimes,"Yes, frequently",Monthly,Never,Not confident,"Yes, frequently",Not helpful at all,Rarely,Videos,Effective,Rarely,Neutral,Neutral,Sometimes,Rarely,Neutral,Very useful,"Yes, significantly"
Rarely,No,Neutral,Not sure,Very confident,Open and read carefully,Never,Most of the time,"No, never",Monthly,"Yes, automatically",Not confident,"Yes, frequently",Not very helpful,Always,Live training sessions,Not effective,"Yes, always",Somewhat relevant,Neutral,Never,"Yes, always",Neutral,Useful,No
Sometimes,Yes,Not confident at all,Not sure,Very confident,Delete it immediately,Rarely,Most of the time,Rarely,Rarely,"Yes, manually",Confident,Never,Not very helpful,Always,Live training sessions,Not effective,Rarely,Very relevant,"Yes, significantly",Rarely,Rarely,Neutral,Very useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Neutral,"No, never",Not confident,Open and read carefully,Rarely,Rarely,"Yes, frequently",Monthly,Rarely,Very confident,Never,Very helpful,Most of the time,Live training sessions,Effective,Sometimes,Somewhat relevant,No,Rarely,Rarely,Effective,Neutral,No
Often,Not sure what a password manager is,Very confident,"Yes, recently",Neutral,Consult a colleague,Always,Most of the time,Occasionally,Occasionally,"Yes, automatically",Confident,Never,Very helpful,Sometimes,Videos,Not effective,Rarely,Somewhat relevant,Neutral,Never,Rarely,Effective,Very useful,"Yes, somewhat"
Rarely,No,Neutral,"No, never",Very confident,Delete it immediately,Rarely,Sometimes,Rarely,Occasionally,Sometimes,Very confident,Never,Neutral,Never,Simulations,Neutral,No,Not relevant,No,Rarely,Rarely,Not effective,Not useful,No
Always,Yes,Not confident,"Yes, recently",Not confident,Consult a colleague,Often,Sometimes,"Yes, frequently",Never,"Yes, automatically",Confident,"Yes, frequently",Not very helpful,Most of the time,Videos,Neutral,"Yes, always",Neutral,Neutral,Rarely,Rarely,Not effective,Neutral,"Yes, somewhat"
Often,Not sure what a password manager is,Not confident,"No, never",Neutral,Consult a colleague,Always,Sometimes,"No, never",Every week,Sometimes,Confident,Not sure,Neutral,Rarely,Simulations,Effective,Rarely,Very relevant,Neutral,Never,Rarely,Neutral,Very useful,Neutral
Never,Not sure what a password manager is,Not confident,Not sure,Very confident,Report it to IT,Never,Rarely,"No, never",Every week,Sometimes,Confident,Never,Very helpful,Rarely,Live training sessions,Very effective,No,Not relevant,Neutral,Rarely,Sometimes,Effective,Neutral,No
Often,No,Confident,"No, never",Somewhat confident,Delete it immediately,Rarely,Sometimes,Occasionally,Never,Rarely,Not confident,"Yes, frequently",Helpful,Most of the time,Quizzes,Effective,"Yes, always",Very relevant,Neutral,Sometimes,"Yes, always",Neutral,Neutral,Neutral
Never,No,Not confident,"No, never",Somewhat confident,Open and read carefully,Often,"Yes, always","Yes, frequently",Every week,"Yes, manually",Neutral,"Yes, frequently",Helpful,Most of the time,Quizzes,Effective,No,Neutral,"Yes, significantly",Sometimes,"Yes, always",Not effective,Neutral,"Yes, significantly"
Often,Yes,Not confident at all,Not sure,Not confident,Delete it immediately,Never,Sometimes,"No, never",Occasionally,Sometimes,Very confident,Not sure,Not very helpful,Sometimes,Simulations,Not effective,No,Somewhat relevant,Somewhat,"Yes, frequently",Sometimes,Not effective,Neutral,"Yes, somewhat"
Often,No,Very confident,Not sure,Neutral,Consult a colleague,Never,Rarely,"Yes, frequently",Occasionally,Never,Very confident,Rarely,Very helpful,Most of the time,Simulations,Not effective,Rarely,Very relevant,Somewhat,Rarely,Sometimes,Not effective,Neutral,Neutral
Never,Not sure what a password manager is,Not confident at all,"Yes, recently",Not confident,Report it to IT,Always,"Yes, always","Yes, frequently",Never,Never,Confident,Never,Very helpful,Always,Videos,Very effective,No,Neutral,No,Never,"Yes, always",Neutral,Not useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Not confident at all,"Yes, recently",Somewhat confident,Report it to IT,Sometimes,Most of the time,"No, never",Occasionally,"Yes, manually",Confident,Not sure,Not helpful at all,Never,Videos,Not effective,Rarely,Neutral,Somewhat,Rarely,No,"Yes, highly effective",Useful,Neutral
Often,Not sure what a password manager is,Confident,"Yes, but a long time ago",Very confident,Open and read carefully,Never,Most of the time,"Yes, frequently",Occasionally,Never,Very confident,Not sure,Very helpful,Sometimes,Live training sessions,Not effective,Rarely,Not relevant,Neutral,Sometimes,No,Neutral,Useful,Neutral
Never,Yes,Confident,"Yes, recently",Somewhat confident,Open and read carefully,Often,"Yes, always","Yes, frequently",Monthly,"Yes, manually",Not confident,"Yes, frequently",Very helpful,Sometimes,Videos,Neutral,Rarely,Neutral,No,Rarely,No,Neutral,Not useful,Neutral
Sometimes,No,Confident,Not sure,Not confident,Open and read carefully,Sometimes,Rarely,"No, never",Monthly,Rarely,Confident,Rarely,Not very helpful,Most of the time,Simulations,Effective,No,Very relevant,Neutral,Never,Rarely,"Yes, highly effective",Useful,Neutral
Sometimes,Yes,Not confident at all,"Yes, recently",Very confident,Consult a colleague,Always,Never,Rarely,Every week,Never,Not confident,Not sure,Very helpful,Always,Simulations,Neutral,No,Very relevant,No,"Yes, frequently",No,"Yes, highly effective",Useful,Neutral
Rarely,Not sure what a password manager is,Not confident at all,"Yes, recently",Neutral,Report it to IT,Always,Sometimes,"Yes, frequently",Rarely,"Yes, manually",Confident,Never,Neutral,Rarely,Simulations,Neutral,No,Not relevant,Neutral,Sometimes,Rarely,Effective,Not useful,"Yes, somewhat"
Never,Yes,Very confident,"Yes, recently",Somewhat confident,Open and read carefully,Rarely,"Yes, always","Yes, frequently",Occasionally,Rarely,Neutral,Occasionally,Helpful,Most of the time,Quizzes,Not effective,No,Neutral,Neutral,Rarely,Sometimes,Not effective,Neutral,No
Never,Yes,Not confident,"No, never",Not confident,Consult a colleague,Sometimes,Most of the time,"No, never",Every week,Rarely,Neutral,Never,Neutral,Most of the time,Quizzes,Effective,Sometimes,Neutral,Somewhat,"Yes, frequently","Yes, always","Yes, highly effective",Neutral,No
Never,Yes,Confident,"Yes, recently",Neutral,Consult a colleague,Often,Rarely,"Yes, frequently",Rarely,"Yes, automatically",Confident,Rarely,Very helpful,Never,Videos,Not effective,No,Very relevant,Neutral,"Yes, frequently",Sometimes,"Yes, highly effective",Neutral,"Yes, significantly"
Often,Yes,Very confident,Not sure,Somewhat confident,Consult a colleague,Rarely,Rarely,Rarely,Monthly,Sometimes,Confident,Not sure,Helpful,Sometimes,Quizzes,Very effective,No,Very relevant,No,Rarely,Rarely,"Yes, highly effective",Useful,"Yes, somewhat"
Often,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Consult a colleague,Never,Rarely,Rarely,Never,Sometimes,Very confident,Not sure,Not helpful at all,Sometimes,Simulations,Not effective,Sometimes,Neutral,No,Sometimes,"Yes, always",Effective,Useful,Neutral
Often,No,Not confident,"Yes, recently",Somewhat confident,Consult a colleague,Never,"Yes, always",Rarely,Monthly,Sometimes,Very confident,Rarely,Not helpful at all,Always,Quizzes,Not effective,No,Very relevant,Neutral,Sometimes,No,"Yes, highly effective",Neutral,"Yes, significantly"
Never,No,Neutral,"Yes, recently",Somewhat confident,Consult a colleague,Always,Most of the time,"No, never",Never,Rarely,Confident,Occasionally,Helpful,Sometimes,Quizzes,Very effective,Rarely,Very relevant,No,"Yes, frequently","Yes, always",Not effective,Not useful,Neutral
Often,Yes,Not confident,"No, never",Not confident,Report it to IT,Often,Most of the time,Occasionally,Never,"Yes, manually",Not confident,Rarely,Very helpful,Most of the time,Videos,Very effective,"Yes, always",Somewhat relevant,"Yes, significantly","Yes, frequently",Sometimes,Not effective,Useful,"Yes, significantly"
Often,Not sure what a password manager is,Neutral,"Yes, recently",Somewhat confident,Delete it immediately,Rarely,Most of the time,Rarely,Rarely,Never,Very confident,Occasionally,Not very helpful,Sometimes,Live training sessions,Neutral,"Yes, always",Not relevant,Somewhat,Sometimes,"Yes, always",Not effective,Neutral,"Yes, somewhat"
Always,Yes,Very confident,"Yes, but a long time ago",Neutral,Consult a colleague,Rarely,"Yes, always",Occasionally,Rarely,"Yes, automatically",Confident,Never,Helpful,Rarely,Videos,Very effective,"Yes, always",Somewhat relevant,"Yes, significantly",Rarely,No,Effective,Very useful,No
Sometimes,No,Not confident,"Yes, recently",Not confident,Open and read carefully,Rarely,Most of the time,"No, never",Occasionally,Rarely,Very confident,Occasionally,Neutral,Sometimes,Simulations,Very effective,Sometimes,Neutral,Somewhat,Rarely,"Yes, always",Neutral,Very useful,Neutral
Rarely,No,Not confident at all,Not sure,Not confident,Delete it immediately,Sometimes,Sometimes,Rarely,Monthly,Never,Very confident,Not sure,Not very helpful,Sometimes,Quizzes,Not effective,No,Not relevant,No,"Yes, frequently",Sometimes,Neutral,Useful,"Yes, somewhat"
Always,Not sure what a password manager is,Confident,Not sure,Not confident,Open and read carefully,Sometimes,Most of the time,"Yes, frequently",Monthly,Never,Not confident,Not sure,Neutral,Sometimes,Videos,Not effective,Rarely,Not relevant,No,Sometimes,No,Effective,Useful,Neutral
Always,No,Very confident,"Yes, but a long time ago",Not confident,Report it to IT,Rarely,Most of the time,"Yes, frequently",Every week,"Yes, automatically",Neutral,Not sure,Not helpful at all,Sometimes,Videos,Very effective,"Yes, always",Neutral,Somewhat,"Yes, frequently",No,Neutral,Neutral,Neutral
Never,Not sure what a password manager is,Confident,Not sure,Not confident,Delete it immediately,Rarely,Never,Occasionally,Never,Sometimes,Confident,"Yes, frequently",Very helpful,Sometimes,Videos,Neutral,Sometimes,Neutral,Somewhat,Rarely,Sometimes,"Yes, highly effective",Very useful,"Yes, significantly"
Always,No,Not confident at all,"Yes, but a long time ago",Neutral,Open and read carefully,Rarely,"Yes, always",Occasionally,Never,Sometimes,Very confident,Occasionally,Neutral,Always,Videos,Effective,No,Not relevant,Neutral,Never,Rarely,Effective,Useful,"Yes, somewhat"
Never,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Report it to IT,Never,Sometimes,"No, never",Never,"Yes, automatically",Not confident,Never,Very helpful,Always,Quizzes,Neutral,Rarely,Neutral,"Yes, significantly","Yes, frequently",No,Effective,Neutral,"Yes, somewhat"
Often,Yes,Very confident,"Yes, recently",Not confident,Consult a colleague,Often,Most of the time,Rarely,Every week,Rarely,Neutral,"Yes, frequently",Not very helpful,Most of the time,Videos,Effective,Sometimes,Neutral,Somewhat,Never,Rarely,Neutral,Useful,"Yes, somewhat"
Always,No,Not confident,"No, never",Not confident,Consult a colleague,Rarely,Most of the time,Rarely,Monthly,"Yes, automatically",Very confident,Never,Neutral,Never,Videos,Very effective,Sometimes,Not relevant,Somewhat,"Yes, frequently",Sometimes,Effective,Not useful,"Yes, somewhat"
Often,Not sure what a password manager is,Very confident,"Yes, recently",Somewhat confident,Consult a colleague,Often,"Yes, always",Rarely,Every week,Never,Very confident,"Yes, frequently",Neutral,Always,Quizzes,Effective,No,Not relevant,Somewhat,Never,No,Not effective,Useful,Neutral
Sometimes,Not sure what a password manager is,Not confident,Not sure,Very confident,Consult a colleague,Always,Most of the time,"Yes, frequently",Occasionally,"Yes, automatically",Very confident,"Yes, frequently",Not very helpful,Rarely,Videos,Neutral,Sometimes,Not relevant,"Yes, significantly","Yes, frequently","Yes, always","Yes, highly effective",Useful,"Yes, significantly"
Rarely,Not sure what a password manager is,Very confident,"No, never",Neutral,Delete it immediately,Always,Sometimes,"No, never",Rarely,"Yes, automatically",Not confident,Never,Neutral,Sometimes,Live training sessions,Effective,Rarely,Not relevant,Somewhat,"Yes, frequently",No,Neutral,Neutral,"Yes, somewhat"
Rarely,Not sure what a password manager is,Not confident,"No, never",Not confident,Consult a colleague,Rarely,Rarely,Rarely,Occasionally,Sometimes,Confident,Never,Neutral,Sometimes,Quizzes,Effective,"Yes, always",Very relevant,Neutral,Sometimes,Sometimes,Effective,Not useful,Neutral
Often,Not sure what a password manager is,Confident,"Yes, recently",Neutral,Report it to IT,Always,"Yes, always",Rarely,Every week,Never,Very confident,Never,Neutral,Rarely,Quizzes,Effective,No,Very relevant,Somewhat,Rarely,Rarely,"Yes, highly effective",Neutral,"Yes, somewhat"
Rarely,Yes,Not confident,"Yes, but a long time ago",Neutral,Delete it immediately,Rarely,Rarely,"No, never",Monthly,Sometimes,Neutral,"Yes, frequently",Not very helpful,Rarely,Simulations,Effective,"Yes, always",Very relevant,No,Rarely,"Yes, always",Neutral,Very useful,"Yes, significantly"
Often,Yes,Very confident,"No, never",Very confident,Delete it immediately,Sometimes,Most of the time,Rarely,Monthly,"Yes, automatically",Very confident,Never,Not very helpful,Sometimes,Quizzes,Very effective,"Yes, always",Neutral,Neutral,Sometimes,No,Effective,Neutral,Neutral
Sometimes,Yes,Very confident,"Yes, recently",Not confident,Report it to IT,Rarely,Most of the time,Rarely,Never,Rarely,Very confident,Occasionally,Neutral,Most of the time,Live training sessions,Not effective,Rarely,Very relevant,Neutral,Rarely,Sometimes,Not effective,Neutral,Neutral
Never,Yes,Not confident,"No, never",Very confident,Open and read carefully,Rarely,Most of the time,Occasionally,Occasionally,"Yes, automatically",Very confident,"Yes, frequently",Neutral,Most of the time,Simulations,Not effective,"Yes, always",Neutral,Somewhat,Never,Sometimes,Neutral,Not useful,No
Sometimes,Yes,Confident,"Yes, recently",Neutral,Consult a colleague,Rarely,"Yes, always",Occasionally,Monthly,Rarely,Confident,"Yes, frequently",Very helpful,Always,Live training sessions,Effective,Sometimes,Neutral,Somewhat,Never,No,Neutral,Useful,"Yes, significantly"
Sometimes,Not sure what a password manager is,Not confident at all,"No, never",Neutral,Open and read carefully,Always,Rarely,"Yes, frequently",Occasionally,Sometimes,Confident,"Yes, frequently",Not very helpful,Most of the time,Live training sessions,Neutral,Sometimes,Somewhat relevant,No,"Yes, frequently",No,Effective,Neutral,Neutral
Always,No,Not confident,"Yes, recently",Very confident,Open and read carefully,Never,Rarely,Rarely,Occasionally,"Yes, manually",Very confident,Never,Not helpful at all,Always,Live training sessions,Neutral,Sometimes,Not relevant,Somewhat,Rarely,No,Not effective,Useful,"Yes, significantly"
Rarely,Yes,Confident,Not sure,Not confident,Consult a colleague,Never,Sometimes,Rarely,Monthly,"Yes, automatically",Not confident,Occasionally,Neutral,Most of the time,Simulations,Neutral,No,Not relevant,"Yes, significantly",Never,No,Neutral,Useful,No
Rarely,No,Very confident,"Yes, but a long time ago",Neutral,Report it to IT,Sometimes,Never,"Yes, frequently",Every week,"Yes, automatically",Not confident,Not sure,Helpful,Most of the time,Live training sessions,Very effective,No,Somewhat relevant,No,Sometimes,Sometimes,Effective,Very useful,Neutral
Never,Yes,Not confident,Not sure,Neutral,Open and read carefully,Rarely,Most of the time,Occasionally,Never,"Yes, manually",Confident,Occasionally,Very helpful,Always,Quizzes,Not effective,Rarely,Not relevant,Neutral,Rarely,No,"Yes, highly effective",Useful,No
Rarely,Not sure what a password manager is,Very confident,"Yes, but a long time ago",Not confident,Report it to IT,Often,Sometimes,Rarely,Never,Never,Confident,Rarely,Neutral,Always,Simulations,Very effective,Sometimes,Somewhat relevant,"Yes, significantly","Yes, frequently",Rarely,"Yes, highly effective",Useful,No
